year_region,CF_PV,perc_PV,CF_WT,perc_WT
PL52-1999,0.123411789,0.51,0.278478196,0.72
PL52-2000,0.121819399,0.48,0.274753529,0.71
PL52-2001,0.111959679,0.22,0.237566438,0.59
PL52-2002,0.122476208,0.49,0.276511073,0.71
PL52-2003,0.131278322,0.62,0.236215297,0.58
PL52-2004,0.119597377,0.42,0.267123748,0.69
PL52-2005,0.126391365,0.56,0.242749201,0.61
PL52-2006,0.126642581,0.57,0.235206621,0.58
PL52-2007,0.122880508,0.50,0.284980594,0.74
PL52-2008,0.119643157,0.42,0.278077072,0.72
PL52-2009,0.118714024,0.40,0.231231849,0.56
PL52-2010,0.117295049,0.36,0.239486073,0.60
