Time step,ITH5PV,ITH5WT,NO03PV,NO03WT,ES42PV,ES42WT,UKC1PV,UKC1WT
432,0,0.327,0,0.044,0,0.49,0,0.011
433,0,0.393,0,0.051,0,0.434,0,0.019
434,0,0.377,0,0.066,0,0.366,0,0.025
435,0,0.337,0,0.095,0,0.344,0,0.034
436,0,0.291,0,0.13,0,0.298,0,0.042
437,0,0.25,0,0.167,0,0.235,0,0.052
438,0,0.214,0,0.219,0,0.178,0,0.065
439,0,0.184,0,0.294,0,0.133,0,0.085
440,0,0.156,0,0.362,0,0.107,0,0.107
441,0,0.128,0,0.444,0,0.088,0,0.128
442,0,0.093,0,0.523,0,0.075,0,0.132
443,0,0.16,0,0.591,0,0.058,0,0.137
444,0,0.118,0,0.647,0,0.047,0,0.143
445,0,0.082,0,0.707,0,0.036,0,0.143
446,0.12401,0.063,0.00702,0.691,0.02867,0.017,0,0.139
447,0.37066,0.026,0.01413,0.646,0.25069,0.002,0.01963,0.132
448,0.48041,0.004,0.02087,0.613,0.41315,0.006,0.07189,0.125
449,0.5045,0.001,0.03348,0.588,0.54983,0.027,0.10907,0.124
450,0.43761,0.001,0.04182,0.53,0.65049,0.045,0.15758,0.123
451,0.38779,0.001,0.08517,0.52,0.65363,0.06,0.14229,0.117
452,0.31741,0.003,0.00682,0.536,0.52151,0.089,0.08741,0.106
453,0.19208,0.004,0,0.588,0.34483,0.096,0.01125,0.113
454,0,0.005,0,0.616,0.1626,0.114,0,0.138
455,0,0.005,0,0.603,0.03338,0.144,0,0.156
456,0,0.007,0,0.574,0,0.138,0,0.162
457,0,0.013,0,0.542,0,0.116,0,0.166
458,0,0.022,0,0.494,0,0.103,0,0.171
459,0,0.052,0,0.404,0,0.109,0,0.18
460,0,0.086,0,0.367,0,0.127,0,0.184
461,0,0.127,0,0.329,0,0.145,0,0.192
462,0,0.222,0,0.309,0,0.156,0,0.213
463,0,0.227,0,0.305,0,0.15,0,0.225
464,0,0.231,0,0.312,0,0.14,0,0.233
465,0,0.246,0,0.332,0,0.131,0,0.23
466,0,0.259,0,0.361,0,0.117,0,0.213
467,0,0.248,0,0.425,0,0.108,0,0.201
468,0,0.219,0,0.526,0,0.101,0,0.197
469,0,0.184,0,0.645,0,0.093,0,0.187
470,0.23325,0.129,0.01033,0.746,0.02534,0.082,0,0.171
471,0.44774,0.226,0.01786,0.837,0.22239,0.088,0.00666,0.164
