,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
EL,c_PV_OPT,360422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,564600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1401138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,714825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,924903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1493457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885,40.86002885
,p_E_AVG,0,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025,81.71952025
,p_E_PES,0,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495,167.0877495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,c_PV_OPT,365808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,573038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1422078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,725508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,938725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
